eNB,TotCell Intervals,Context Drop Rate Den,Context Drop Rate Num,MaxNum VoIP Bear Per Cell,Context Drop NoDS1noEPC Rate Num,Context Drop NoDS1noEPC Rate Den,Context Drop NoDS1noEPC Rate,Data ERAB Drop Rate Num,Data ERAB Drop Rate Den,Data ERAB Drop Rate,Data ERAB Drop NoDS1noSGW Rate Num,Data ERAB Drop NoDS1noSGW Rate Den,Data ERAB Drop NoDS1noSGW Rate,RRC Connection Failure Rate Num,RRC Connection Failure Rate Den,RRC Connection Failure Rate,UE Context Setup Failure Rate Num,UE Context Setup Failure Rate Den,UE Context Setup Failure Rate,Data ERAB Setup Failure Rate Num,Data ERAB Setup Failure Rate Den,Data ERAB Setup Failure Rate,Ave RRC Connected Users Num,Ave RRC Connected Users Den,Ave RRC Connected Users,Max RRC Connected Users,DLBurst User TPUT Mbps Num,DLBurst User TPUT Mbps Den,DLBurst User TPUT Mbps,ULBurst User TPUT Mbps Num,ULBurst User TPUT Mbps Den,ULBurst User TPUT Mbps,Intra eNB Total HOFailure Rate Num,Intra eNB Total HOFailure Rate,Intra eNB Total HOFailure xIFLB Rate Num,Intra eNB Total HOFailure xIFLB Rate,X2 Total Handover Failure Rate Num,X2 Total Handover Failure Rate Den,X2 Total Handover Failure Rate,X2 Total Handover Failure 15 1 Rate Num,X2 Total Handover Failure 15 1 Rate Den,X2 Total Handover Failure 15 1 Rate,S1 interface Handover Failure Rate Num,VoLTE ERAB Setup Failure Rate Num,VoLTE ERAB Setup Failure Rate,VoLTE ERAB Drop Rate Num,VoLTE ERAB Drop Rate Den,VoLTE ERAB Drop Rate,VoLTE ERAB Drop NoDS1noPS Rate Num,VoLTE ERAB Drop NoDS1noPS Rate Den,VoLTE ERAB Drop NoDS1noPS Rate,VoLTE HO Failure Rate Num,VoLTE HO Failure Rate Den,AveNum VoIP Bear Per Cell Num,AveNum VoIP Bear Per Cell,Context Drop Rate
136074_BUCH,24,33356,68,6.517777778,12,33356,0.0004,125,57556,0.0022,19.2602881,57556,0.0003,23,29416,0.0008,7,28148,0.0002,14,57568,0.0002,451365,21600,20.9,213,135628392,27112114,5,11342072,9481951,1.2,3,0.0053,4,0.0072,5,3242,0.0015,26,3242,0.008,1,0,0,7,157,0.0446,0,157,0,25,128,604,0.01,0.002
136074_BUCH,24,31747,76,5.82,26,31747,0.0008,142,54377,0.0026,42.01470818,54377,0.0008,35,27973,0.0013,5,26619,0.0002,12,54389,0.0002,434300,21600,20.11,215,104714920,19553131,5.36,10718640,10000705,1.07,1,0.002,1,0.002,7,3092,0.0023,28,3092,0.0091,0,0,0,6,118,0.0508,2,118,0.0169,20,128,564,0.01,0.0024
136074_BUCH,24,29642,68,5.068888889,12,29642,0.0004,123,51046,0.0024,18.94256978,51046,0.0004,19,26172,0.0007,2,24926,0.0001,7,51053,0.0001,403328,21600,18.67,219,106470768,23570963,4.52,9869824,9981547,0.99,1,0.0022,1,0.0023,3,2855,0.0011,22,2855,0.0077,1,0,0,4,113,0.0354,0,113,0,21,112,565,0.01,0.0023
136074_BUCH,24,24022,44,4.811111111,6,24022,0.0002,77,43114,0.0018,3.183715387,43114,0.0001,7,21971,0.0003,3,21005,0.0001,3,43117,0.0001,325724,21600,15.08,174,95446120,18559126,5.14,6123696,6745968,0.91,1,0.0035,2,0.0069,2,1706,0.0012,9,1706,0.0053,0,0,0,4,80,0.05,1,80,0.0125,6,105,307,0.01,0.0018
136074_BUCH,24,22254,33,3.406666667,8,22254,0.0004,62,41325,0.0015,15.26796823,41325,0.0004,6,20841,0.0003,4,20067,0.0002,8,41333,0.0002,319665,21600,14.8,154,105335344,20892673,5.04,9157904,7953713,1.15,2,0.0086,3,0.0129,4,1039,0.0038,8,1039,0.0077,0,0,0,0,49,0,0,49,0,6,78,205,0.01,0.0015
136074_BUCH,24,18798,19,2.037777778,4,18798,0.0002,32,35890,0.0009,5.813406234,35890,0.0002,5,17929,0.0003,1,17416,0.0001,2,35892,0.0001,240850,21600,11.15,132,68323864,11585170,5.9,4305008,4584596,0.94,0,0,0,0,0,664,0,2,664,0.003,0,0,0,1,18,0.0556,1,18,0.0556,4,50,111,0.01,0.001
136074_BUCH,24,16154,10,0.868888889,3,16154,0.0002,20,30899,0.0006,6.788362702,30899,0.0002,2,15601,0.0001,1,15191,0.0001,1,30900,0,183651,21600,8.5,105,43418928,5659276,7.67,2751824,2817781,0.98,0,0,0,0,0,404,0,0,404,0,0,0,0,0,12,0,0,12,0,1,24,49,0.01,0.0006
136074_BUCH,24,15923,14,1.526666667,5,15923,0.0003,25,30344,0.0008,7.943144318,30344,0.0003,0,15338,0,0,14929,0,0,30344,0,183754,21600,8.51,173,38967352,5269292,7.4,2770160,2423356,1.14,0,0,0,0,0,434,0,1,434,0.0023,0,0,0,0,5,0,0,5,0,0,24,44,0.01,0.0009
136074_BUCH,24,13808,6,0.584444444,2,13808,0.0001,12,26918,0.0004,3.6920714,26918,0.0001,2,13550,0.0001,0,13244,0,2,26920,0.0001,140752,21600,6.52,91,28991224,1921730,15.09,2445888,1777454,1.38,0,0,0,0,0,182,0,0,182,0,0,0,0,0,1,0,0,1,0,0,12,24,0.01,0.0004
136074_BUCH,24,13325,8,0.358888889,4,13325,0.0003,13,25852,0.0005,5.02326071,25852,0.0002,0,13118,0,0,12833,0,0,25850,0,139186,21600,6.44,86,17656672,1453706,12.15,1337120,1105618,1.21,0,0,0,0,0,162,0,0,162,0,0,0,0,0,3,0,0,3,0,0,8,8,0.01,0.0006
